Date/Time,Electricity:Building [J](TimeStep),Electricity:Zone:LIVING_UNIT1 [J](TimeStep),Electricity:HVAC [J](TimeStep) 
 08/07  02:00:00,2275929.455018319,2275929.455018319,1814318.3836181849 
 08/07  03:00:00,2206408.707058266,2206408.707058266,1487585.6344841643 
 08/07  04:00:00,2155182.0550951475,2155182.0550951475,1511653.2487863915 
 08/07  05:00:00,2291055.620266884,2291055.620266884,1490840.1917193603 
 08/07  06:00:00,2813501.501521538,2813501.501521538,498660.31204627527 
 08/07  07:00:00,3371875.054726362,3371875.054726362,1015626.2899997027 
 08/07  08:00:00,3729475.7780087266,3729475.7780087266,1183115.2524564898 
 08/07  09:00:00,3298618.617333378,3298618.617333378,1785841.578763283 
 08/07  10:00:00,3122592.2634365067,3122592.2634365067,3659416.081597132 
 08/07  11:00:00,3178856.656011372,3178856.656011372,3766387.139839396 
 08/07  12:00:00,3222596.597944462,3222596.597944462,4313999.908661557 
 08/07  13:00:00,3174829.2448341168,3174829.2448341168,5389206.429572424 
 08/07  14:00:00,3121083.862455791,3121083.862455791,5786087.264740569 
 08/07  15:00:00,3130150.3294255619,3130150.3294255619,4985640.679259918 
 08/07  16:00:00,3397295.8878673256,3397295.8878673256,4367477.7987722349 
 08/07  17:00:00,4285039.822795357,4285039.822795357,3068485.468038842 
 08/07  18:00:00,5398091.6345649179,5398091.6345649179,3935031.1267829325 
 08/07  19:00:00,5779156.670941541,5779156.670941541,4338436.261211505 
 08/07  20:00:00,5686615.049543408,5686615.049543408,3496672.753141339 
 08/07  21:00:00,5614088.481939626,5614088.481939626,3064024.9703013256 
 08/07  22:00:00,5143274.6127171409,5143274.6127171409,2588077.1023406919 
 08/07  23:00:00,4102397.32953754,4102397.32953754,1155514.6781540334 
 08/07  24:00:00,3198484.434672712,3198484.434672712,1516105.2625480504 
