Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Ground Temperature [C](TimeStep),Environment:Site Surface Ground Temperature [C](TimeStep),EMS:BEE_var [J](TimeStep),DX COOLING COIL_UNIT1:Cooling Coil Electricity Energy [J](TimeStep),DX COOLING COIL_UNIT1:Cooling Coil Runtime Fraction [](TimeStep),MAIN DX HEATING COIL_UNIT1:Heating Coil Electricity Energy [J](TimeStep),MAIN DX HEATING COIL_UNIT1:Heating Coil Defrost Electricity Energy [J](TimeStep),MAIN DX HEATING COIL_UNIT1:Heating Coil Crankcase Heater Electricity Energy [J](TimeStep),MAIN DX HEATING COIL_UNIT1:Heating Coil Runtime Fraction [](TimeStep),HEAT PUMP WATER HEATER EVAPORATOR_UNIT1:Cooling Coil Runtime Fraction [](TimeStep),SUPPLY FAN_UNIT1:Fan Electricity Energy [J](TimeStep),SUPPLY FAN_UNIT1:Fan Air Mass Flow Rate [kg/s](TimeStep),OASUPPLYFAN_UNIT1:Fan Electricity Energy [J](TimeStep),OASUPPLYFAN_UNIT1:Fan Air Mass Flow Rate [kg/s](TimeStep),OAEXHAUSTFAN_UNIT1:Fan Electricity Energy [J](TimeStep),OAEXHAUSTFAN_UNIT1:Fan Air Mass Flow Rate [kg/s](TimeStep),HEAT PUMP WATER HEATER FAN_UNIT1:Fan Electricity Energy [J](TimeStep),HEAT PUMP WATER HEATER FAN_UNIT1:Fan Air Mass Flow Rate [kg/s](TimeStep),SUPPLY FAN_UNIT1:Fan Runtime Fraction [](TimeStep),OASUPPLYFAN_UNIT1:Fan Runtime Fraction [](TimeStep),OAEXHAUSTFAN_UNIT1:Fan Runtime Fraction [](TimeStep),HEAT PUMP WATER HEATER FAN_UNIT1:Fan Runtime Fraction [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Mean Air Dewpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Dewpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total Building Electricity Demand Rate [W](TimeStep),Whole Building:Facility Total HVAC Electricity Demand Rate [W](TimeStep),OCCUPANCY:Schedule Value [](TimeStep),OA_HEAT_RECOVERY_UNIT1:Heat Exchanger Electricity Energy [J](TimeStep),SUPP HEATING COIL_UNIT1:Heating Coil Electricity Energy [J](TimeStep),Electricity:Building [J](TimeStep),Electricity:Zone:LIVING_UNIT1 [J](TimeStep),Electricity:HVAC [J](TimeStep) 
 08/01  01:00:00,25.3,23.9,13.0,0.0,3146969.3486788158,0.3593463059713845,0.0,0.0,0.0,0.0,0.0,324807.132256472,0.12452231846141128,38571.4285714286,0.033985135883628888,38571.4285714286,0.033985135883628888,0.0,0.0,0.3593463059713845,1.0,1.0,0.0,24.424755936571029,13.548305935381576,23.191652905860175,22.028584230083078,0.0,24.39999999999999,734.4294302504549,994.1109272439292,1.0,0.0,0.0,2486500.2610301256,2486500.2610301256,3548919.338078145 
 08/01  02:00:00,24.5,23.9,13.0,3548919.338078145,2258461.923048015,0.2603406167140011,0.0,0.0,0.0,0.0,0.0,235317.54110056099,0.08686872243290185,38571.428571428594,0.033985135883628888,38571.428571428594,0.033985135883628888,0.0,0.0,0.2603406167140011,0.9999999999999999,0.9999999999999999,0.0,24.400008915201576,14.017027023453285,21.839057221965825,21.795917666768536,0.0,24.4,675.9375396916198,722.4450892476203,1.0,0.0,0.0,2275929.455018319,2275929.455018319,2570922.3212914338 
 08/01  03:00:00,23.8,23.9,13.0,2570922.3212914338,1388096.4725633723,0.16075060555045307,0.0,0.0,0.0,0.0,0.0,145299.79111985584,0.052796575113106428,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.16075060555045307,1.0,1.0,0.0,24.399338208955883,14.862997779499935,20.662514072403636,20.66365335240075,0.0,24.4,656.6262208138272,455.671978007246,1.0,0.0,0.0,2206408.707058266,2206408.707058266,1610539.1208260854 
 08/01  04:00:00,23.0,23.9,13.0,1610539.1208260854,908802.3202049881,0.10584881290272924,0.0,0.0,0.0,0.0,0.0,95674.97647916583,0.034473745670376167,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.10584881290272924,1.0,1.0,0.0,24.39841169737976,15.531073667014305,20.03743061819876,20.03784293500328,0.0,24.4,642.3965952685164,308.75004272972526,1.0,0.0,0.0,2155182.0550951475,2155182.0550951475,1081620.1538270112 
 08/01  05:00:00,22.2,23.9,13.0,1081620.1538270112,601645.5171437174,0.07024637300252013,0.0,0.0,0.0,0.0,0.0,63494.52488370354,0.02275508083150752,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.07024637300252013,1.0,1.0,0.0,24.39934577395633,16.76989163082251,19.44691057509314,19.447339648767398,0.0,24.399996048225316,681.1241573596384,214.48969421396613,1.0,0.0,0.0,2291055.620266884,2291055.620266884,742282.8991702782 
 08/01  06:00:00,24.4,23.9,13.0,742282.8991702782,856406.1951457488,0.09711388002641765,0.0,0.0,0.0,0.0,0.0,87779.6163464434,0.03158843988251824,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.09711388002641765,0.9999999999999996,0.9999999999999996,0.0,24.400992315022945,17.644406672965407,22.86044594170058,22.866274136496913,0.0,24.399996448804346,827.8484840495391,292.00240795418037,1.0,0.0,0.0,2813501.501521538,2813501.501521538,1021328.6686350495 
 08/01  07:00:00,25.0,23.9,13.0,1021328.6686350495,1368788.8230309315,0.15390294735651847,0.0,0.0,0.0,0.0,0.0,139110.3070937656,0.050495179758384519,38571.428571428594,0.033985135883628888,38571.428571428594,0.033985135883628888,0.0,0.0,0.15390294735651847,0.9999999999999998,0.9999999999999998,0.0,24.40089372554967,18.126395395052435,24.566570981274614,24.564867553690605,0.0,24.399994401487338,940.079127492616,448.58944090765399,1.0,0.0,0.0,3371875.054726362,3371875.054726362,1585041.9872675543 
 08/01  08:00:00,27.8,23.9,13.0,1585041.9872675543,2563507.5564772526,0.2794781510083651,0.0,0.0,0.0,0.0,0.0,252615.63914503423,0.09349813407507272,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.27947815100836506,0.9999999999999996,0.9999999999999996,0.0,24.40087294165777,17.644747800407225,27.764286399480097,23.765575673759668,0.0,24.399996487197716,1039.043322325602,811.985014656984,0.8831,0.0,0.0,3729475.7780087266,3729475.7780087266,2893266.052765144 
 08/01  09:00:00,28.3,23.9,13.0,2893266.052765144,4672580.076948326,0.5094790026544575,0.0,0.0,0.0,0.0,0.4285714285714285,460509.5726523471,0.17887941290392354,38571.428571428594,0.033985135883628888,38571.428571428594,0.033985135883628888,16646.32653061224,0.03884705257360055,0.5094790026544575,0.9999999999999998,0.9999999999999998,0.4285714285714285,23.41313169128704,15.505187147961707,29.66992435234858,23.7682923761152,0.0,23.394818110762718,917.6371937703592,1672.0336229761625,0.40861,0.0,0.0,3298618.617333378,3298618.617333378,5226878.833274142 
 08/01  10:00:00,30.6,23.9,13.0,5226878.833274142,6946003.356517131,0.7481398040005087,0.0,0.0,0.0,0.0,0.38542222588394989,676231.0902499576,0.2705126485962903,38571.428571428594,0.03398513588362891,38571.428571428594,0.03398513588362891,14970.349856512445,0.034935874101211888,0.7481398040005087,1.0000000000000003,1.0000000000000003,0.38542222588394989,22.690699511621973,12.612934107928382,34.19099347057809,22.01600759653788,0.0,22.66909263643793,868.3100883737612,2346.440638225549,0.24189,0.0,0.0,3122592.2634365067,3122592.2634365067,7714347.653766458 
